,ERA,SO,cluster
37,3.84,138,0
40,3.86,164,0
42,3.89,142,0
43,4.06,147,0
44,4.07,175,0
45,4.08,139,0
46,4.1,141,0
47,4.16,153,0
48,4.19,138,0
49,4.24,133,0
0,4.26,161,0
3,4.39,165,0
4,4.41,140,0
0,2.58,193,1
1,2.62,191,1
2,2.74,176,1
3,2.83,162,1
7,3.14,174,1
14,3.28,187,1
20,3.43,193,1
1,4.35,113,2
2,4.36,106,2
5,4.54,128,2
6,4.56,101,2
7,4.7,98,2
8,4.79,130,2
9,5.18,102,2
10,5.19,99,2
11,5.73,107,2
4,3.08,140,3
5,3.13,146,3
6,3.14,141,3
8,3.19,146,3
9,3.21,162,3
10,3.23,137,3
11,3.23,143,3
12,3.27,139,3
13,3.28,146,3
18,3.38,141,3
21,3.45,147,3
22,3.46,150,3
23,3.48,151,3
24,3.48,138,3
25,3.49,168,3
28,3.6,147,3
30,3.66,163,3
33,3.72,151,3
15,3.31,129,4
16,3.32,113,4
17,3.33,112,4
19,3.41,122,4
26,3.5,126,4
27,3.51,116,4
29,3.61,113,4
31,3.72,114,4
32,3.72,129,4
34,3.72,112,4
35,3.79,128,4
36,3.8,130,4
38,3.84,122,4
39,3.85,104,4
41,3.88,97,4
